ลำดับ,Sub industry,Customer ID,Name,Class,Lat,Long,Google Maps
1,CONSUMER PROD,1016460,"Procter & Gamble International          Operations SA,Singapore Branch          ",KAM,13.577221,100.92551,"<a href=""https://www.google.com/maps?q=13.577221,100.92551""     target=""_blank"">🌐</a>"
2,CONSUMER PROD,1017973,"Procter and Gamble International        Operations SA,Singapore Branch          ",KAM,13.558144,100.93824,"<a href=""https://www.google.com/maps?q=13.558144,100.93824""     target=""_blank"">🌐</a>"
3,CONSUMER PROD,1001962,บ. พรอคเตอร์ แอนด์ แกมเบิล แมนูแฟค      เจอริ่ง(ประเทศไทย) จก.                  ,KAM,13.577221,100.92551,"<a href=""https://www.google.com/maps?q=13.577221,100.92551""     target=""_blank"">🌐</a>"
4,PROCESSED FOOD,1030765,บริษัท บอนได ฟู้ดส์ จำกัด                                                       ,KAM,13.5613348,100.6505038,"<a href=""https://www.google.com/maps?q=13.5613348,100.6505038""     target=""_blank"">🌐</a>"
5,CONSUMER PROD,1005232,บริษัท พรอคเตอร์ แอนด์ แกมเบิล          เทรดดิ้ง (ประเทศไทย) จำกัด              ,KAM,13.577221,100.92551,"<a href=""https://www.google.com/maps?q=13.577221,100.92551""     target=""_blank"">🌐</a>"
6,PETROLEUM&CHEMICALS,1030616,บริษัท เชฟรอน (ไทย) จำกัด                                                       ,KAM,13.698598,100.547462,"<a href=""https://www.google.com/maps?q=13.698598,100.547462""     target=""_blank"">🌐</a>"
7,CONSUMER PROD,1001761,บริษัท เมย์ยูเม แมนูแฟคเจอริ่ง          (ประเทศไทย) จำกัด                       ,KAM,13.577221,100.92551,"<a href=""https://www.google.com/maps?q=13.577221,100.92551""     target=""_blank"">🌐</a>"
8,ELEC APPLIANCE,1002091,บริษัทชาร์พแอพพลายแอนซ์(ประเทศไทย)      จก.                                     ,KAM,13.568148,100.931559,"<a href=""https://www.google.com/maps?q=13.568148,100.931559""     target=""_blank"">🌐</a>"
9,ELEC APPLIANCE,1002003,บ. เฟดเดอรัลอีเลคตริค จก.                                                       ,Diamond,13.670788,100.722963,"<a href=""https://www.google.com/maps?q=13.670788,100.722963""     target=""_blank"">🌐</a>"
10,CANNED FOOD,1001975,บ.เซ้าท์อีสต์เอเชี่ยนแพคเกจจิ่ง         แอนด์แคนนิ่ง จก.                        ,Diamond,13.537031,100.654485,"<a href=""https://www.google.com/maps?q=13.537031,100.654485""     target=""_blank"">🌐</a>"
11,CONSUMER PROD,1016976,บ.เรกคิทท์ เบนคีเซอร์ เฮลธ์แคร์         แมนูแฟคเจอร์ริ่ง(ประเทศไทย)จก.          ,Diamond,13.623651,100.706243,"<a href=""https://www.google.com/maps?q=13.623651,100.706243""     target=""_blank"">🌐</a>"
12,ELEC APPLIANCE,1027627,บ.เวสเทอร์น แอพไพลแอนซ์ จก.                                                     ,Diamond,13.788762,100.961091,"<a href=""https://www.google.com/maps?q=13.788762,100.961091""     target=""_blank"">🌐</a>"
13,FROZEN FOOD,1001932,บ.แมคคีย์ฟู้ด เซอร์วิสเซส               (ประเทศไทย)จำกัด                        ,Diamond,13.592099,100.77374,"<a href=""https://www.google.com/maps?q=13.592099,100.77374""     target=""_blank"">🌐</a>"
14,ELEC APPLIANCE,1002020,บจ.มิตซูบิชิ เฮฟวี่ อินดัสตรี่ส์-       มหาจักร แอร์ คอนดิชั่นเนอร์ส            ,Diamond,13.775653,100.787717,"<a href=""https://www.google.com/maps?q=13.775653,100.787717""     target=""_blank"">🌐</a>"
15,CONSUMER PROD,1027643,บริษัท ฟูคุโยะ เทคโนส จำกัด                                                     ,Diamond,13.102491,101.061478,"<a href=""https://www.google.com/maps?q=13.102491,101.061478""     target=""_blank"">🌐</a>"
16,PROCESSED FOOD,1002636,บริษัท ล่ำสูง  (ประเทศไทย) จำกัด        (มหาชน)                                 ,Diamond,13.534214,100.656605,"<a href=""https://www.google.com/maps?q=13.534214,100.656605""     target=""_blank"">🌐</a>"
17,CANNED FOOD,1006848,บริษัท เซ้าท์อีสต์เอเชี่ยนแพคเกจจิ่     งแอนด์แคนนิ่ง จำกัด                     ,Diamond,13.580716,100.286916,"<a href=""https://www.google.com/maps?q=13.580716,100.286916""     target=""_blank"">🌐</a>"
18,MEDICAL&HEALTHCARE,1020662,บริษัท แบ็กซ์เตอร์ เมนูแฟคเจอริ่ง       (ประเทศไทย) จำกัด                       ,Diamond,12.9432847,101.0988532,"<a href=""https://www.google.com/maps?q=12.9432847,101.0988532""     target=""_blank"">🌐</a>"
19,FROZEN FOOD,1002134,บริษัท ไทสัน โพลทรี่                    (ไทยแลนด์) จำกัด                        ,Diamond,14.089464,101.017451,"<a href=""https://www.google.com/maps?q=14.089464,101.017451""     target=""_blank"">🌐</a>"
20,FROZEN FOOD,1006750,บริษัท ไทสัน โพลทรี่                    (ไทยแลนด์) จำกัด                        ,Diamond,13.338726,101.066659,"<a href=""https://www.google.com/maps?q=13.338726,101.066659""     target=""_blank"">🌐</a>"
21,FROZEN FOOD,1002133,บริษัท ไทสัน โพลทรี่                    (ไทยแลนด์) จำกัด                        ,Diamond,13.963298,100.73785,"<a href=""https://www.google.com/maps?q=13.963298,100.73785""     target=""_blank"">🌐</a>"
22,CONSUMER PROD,1021178,บ. 3 เอ็ม อินโนเวชั่น (ไทยแลนด์)        จก.                                     ,Titanium,13.741168,100.561629,"<a href=""https://www.google.com/maps?q=13.741168,100.561629""     target=""_blank"">🌐</a>"
23,COMP & ELECTRONIC,1025237,บ.พานาโซนิค ออโต้โมทีฟ                  ซิสเต็มส์ เอเชีย แปซิฟิค จก.            ,Titanium,13.566458,100.824342,"<a href=""https://www.google.com/maps?q=13.566458,100.824342""     target=""_blank"">🌐</a>"
24,FROZEN FOOD,1002075,บ.ฟาร์มกรุงไทย จก.                                                              ,Titanium,13.66692712,100.4696905,"<a href=""https://www.google.com/maps?q=13.66692712,100.4696905""     target=""_blank"">🌐</a>"
25,FROZEN FOOD,1011494,บริษัท จีพี บรีดดิ้ง จำกัด                                                      ,Titanium,13.657834,100.46726,"<a href=""https://www.google.com/maps?q=13.657834,100.46726""     target=""_blank"">🌐</a>"
26,FROZEN FOOD,1005064,บริษัท จีเอฟพีที จำกัด (มหาชน)                                                  ,Titanium,13.592127,100.773709,"<a href=""https://www.google.com/maps?q=13.592127,100.773709""     target=""_blank"">🌐</a>"
27,AUTOMOTIVE PARTS,1002098,บริษัท พานาโซนิค เอเนอร์จี              (ประเทศไทย) จำกัด                       ,Titanium,13.635631,100.592241,"<a href=""https://www.google.com/maps?q=13.635631,100.592241""     target=""_blank"">🌐</a>"
28,DAIRY PRODUCT,1001897,บริษัท ฟรีสแลนด์คัมพิน่า                (ประเทศไทย) จำกัด (มหาชน)               ,Titanium,13.6394042,100.5760916,"<a href=""https://www.google.com/maps?q=13.6394042,100.5760916""     target=""_blank"">🌐</a>"
29,CANNED FOOD,1001978,บริษัท อาร์ เอส แคนเนอรี่ จำกัด                                                 ,Titanium,13.542213,100.649338,"<a href=""https://www.google.com/maps?q=13.542213,100.649338""     target=""_blank"">🌐</a>"
30,DAIRY PRODUCT,1001585,บริษัท เนสท์เล่ (ไทย) จำกัด                                                     ,Titanium,14.114686,100.590789,"<a href=""https://www.google.com/maps?q=14.114686,100.590789""     target=""_blank"">🌐</a>"
31,CONSUMER PROD,1004715,"Beiersdorf (Thailand) Co., Ltd.                                                 ",Platinum,13.578567,100.799012,"<a href=""https://www.google.com/maps?q=13.578567,100.799012""     target=""_blank"">🌐</a>"
32,CONSTRUCT MAT,1006815,TOA PAINT (THAILAND) PUBLIC COMPANY     LIMITED                                 ,Platinum,13.596778,100.801963,"<a href=""https://www.google.com/maps?q=13.596778,100.801963""     target=""_blank"">🌐</a>"
33,CONSTRUCT MAT,1006813,TOA PAINT (THAILAND) PUBLIC COMPANY     LIMITED                                 ,Platinum,13.636008,100.584818,"<a href=""https://www.google.com/maps?q=13.636008,100.584818""     target=""_blank"">🌐</a>"
